                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91005,                 1.5623,                0.65772,                 1.0512,                0.87512,                0.85332,                0.90484,                 0.6829,                0.86697,                0.85016,                0.89329,                0.61136,                0.89913,                  1.673,                0.63899,                  1.048,              0.0013466,              0.0013466,              0.0013466
                     36,                0.89108,                  1.528,                0.65621,                 1.0463,                 0.8461,                0.86955,                0.89096,                0.66989,                0.84438,                0.85927,                0.87856,                0.57937,                0.89646,                 1.6784,                0.66063,                 1.0703,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88625,                 1.5176,                0.64882,                 1.0442,                 0.8643,                0.87255,                0.91081,                0.69043,                0.85836,                0.86272,                0.89829,                0.60259,                0.89271,                 1.6842,                0.62867,                  1.058,               0.001307,               0.001307,               0.001307
                     38,                0.87129,                 1.4851,                0.63331,                 1.0376,                 0.8535,                  0.865,                0.89858,                 0.6841,                0.85498,                0.84295,                0.88466,                0.59664,                0.88532,                  1.703,                0.64176,                 1.0581,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87606,                 1.4922,                0.63529,                 1.0324,                0.86362,                0.86033,                 0.9047,                0.67964,                0.86217,                0.85517,                0.89659,                0.61382,                0.91162,                 1.6555,                0.65118,                 1.0578,              0.0012674,              0.0012674,              0.0012674
                     40,                0.87689,                  1.462,                0.61849,                 1.0369,                0.86415,                0.86965,                0.90366,                0.68689,                0.85708,                0.86253,                0.88987,                0.60097,                0.89934,                 1.6755,                0.63435,                 1.0622,              0.0012476,              0.0012476,              0.0012476
                     41,                0.88627,                 1.4845,                0.62967,                 1.0483,                0.88178,                0.86386,                0.91075,                0.68435,                0.88027,                0.85015,                0.89698,                0.59664,                 0.9019,                 1.6579,                0.63519,                 1.0733,              0.0012278,              0.0012278,              0.0012278
                     42,                0.86825,                 1.4564,                0.60662,                 1.0369,                0.86051,                0.86984,                0.90271,                0.68336,                0.85781,                0.85566,                0.88906,                0.60059,                0.89988,                 1.6359,                0.64018,                 1.0498,               0.001208,               0.001208,               0.001208
                     43,                0.88595,                 1.4736,                0.62594,                 1.0422,                0.86323,                0.87582,                0.91266,                0.69264,                0.86094,                0.87126,                0.90264,                0.61969,                0.89206,                 1.6269,                0.61377,                 1.0569,              0.0011882,              0.0011882,              0.0011882
                     44,                0.87596,                 1.4692,                0.62196,                 1.0359,                0.86514,                0.87339,                0.90951,                0.68812,                0.87392,                0.84876,                0.89837,                0.61233,                0.89835,                 1.6651,                0.63004,                 1.0514,              0.0011684,              0.0011684,              0.0011684
                     45,                0.87795,                 1.4724,                0.62486,                 1.0344,                0.87554,                0.85958,                0.91348,                0.69242,                0.87774,                0.85066,                0.90537,                0.62282,                0.88764,                  1.644,                0.64193,                 1.0559,              0.0011486,              0.0011486,              0.0011486
                     46,                0.85476,                 1.4253,                0.58694,                 1.0301,                0.87679,                0.83879,                0.89395,                0.67651,                0.86994,                0.83224,                0.88062,                0.59929,                0.89338,                 1.6322,                0.65295,                 1.0552,              0.0011288,              0.0011288,              0.0011288
                     47,                0.86152,                 1.4547,                0.60167,                  1.033,                0.87825,                0.84646,                0.89527,                0.67642,                0.86761,                0.83621,                0.87656,                0.59038,                0.90078,                 1.6489,                0.65749,                 1.0584,               0.001109,               0.001109,               0.001109
                     48,                0.85896,                 1.4292,                0.60638,                 1.0353,                0.86604,                0.87645,                0.91558,                0.70329,                0.86709,                0.86443,                0.90569,                0.62681,                0.86289,                 1.5803,                 0.6051,                 1.0494,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.8529,                 1.4432,                0.59618,                 1.0277,                0.87786,                0.86594,                 0.9122,                 0.6899,                0.88211,                0.85389,                0.90412,                 0.6125,                0.88739,                 1.6118,                0.62207,                  1.054,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.8745,                 1.4419,                0.60567,                 1.0345,                0.87543,                0.86784,                0.90636,                0.69182,                0.86917,                0.85339,                0.89159,                0.62082,                0.88248,                 1.6326,                 0.6129,                 1.0532,              0.0010496,              0.0010496,              0.0010496
                     51,                0.85641,                 1.4224,                0.58257,                 1.0238,                 0.8752,                0.85132,                0.90233,                 0.6832,                0.87256,                 0.8425,                0.88779,                0.59498,                0.90103,                 1.6749,                0.63015,                 1.0586,              0.0010298,              0.0010298,              0.0010298
                     52,                0.84819,                 1.4293,                0.58749,                 1.0228,                0.87604,                0.85332,                0.90748,                0.69129,                0.86976,                0.85075,                0.89721,                0.61466,                0.90047,                 1.6063,                0.60883,                  1.069,                0.00101,                0.00101,                0.00101
