                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.91268,                  1.555,                0.66782,                 1.0617,                0.87193,                0.85759,                 0.9043,                0.68394,                0.87787,                0.83424,                0.88848,                0.59427,                0.90889,                 1.6946,                0.66183,                 1.0651,              0.0012476,              0.0012476,              0.0012476
                     41,                0.90489,                 1.5174,                0.64809,                   1.06,                0.87021,                0.86316,                  0.908,                0.68675,                 0.8752,                0.85047,                0.89643,                0.61338,                 0.9269,                 1.6752,                0.64296,                 1.0818,              0.0012278,              0.0012278,              0.0012278
                     42,                0.91094,                 1.5014,                0.65407,                  1.065,                0.87145,                0.86357,                0.90683,                0.68185,                0.85907,                0.85303,                0.88879,                0.59391,                0.92229,                 1.6886,                0.65231,                 1.0677,               0.001208,               0.001208,               0.001208
                     43,                0.89813,                 1.5121,                0.64561,                 1.0526,                 0.8601,                0.86129,                0.90124,                0.67774,                 0.8575,                0.85869,                0.88997,                0.61298,                0.91205,                 1.6709,                0.66222,                  1.075,              0.0011882,              0.0011882,              0.0011882
                     44,                0.89885,                 1.5001,                0.64133,                 1.0601,                0.87603,                0.84164,                0.90114,                0.67811,                 0.8676,                 0.8343,                 0.8852,                0.59593,                0.96058,                 1.7618,                0.67982,                 1.1134,              0.0011684,              0.0011684,              0.0011684
                     45,                0.90619,                 1.5173,                 0.6498,                 1.0599,                0.86666,                0.86269,                0.91112,                0.69141,                0.86515,                0.85844,                  0.901,                0.62098,                0.90751,                 1.6369,                 0.6248,                 1.0565,              0.0011486,              0.0011486,              0.0011486
                     46,                0.88492,                 1.4712,                0.63041,                 1.0517,                0.87693,                0.85645,                0.91087,                0.69378,                0.87508,                0.84596,                0.89759,                0.61074,                0.91101,                 1.6574,                0.65476,                 1.0594,              0.0011288,              0.0011288,              0.0011288
                     47,                0.88154,                 1.4949,                0.63633,                 1.0475,                0.87033,                0.86101,                0.90697,                0.68317,                0.85831,                0.85503,                0.89352,                0.60042,                0.92301,                 1.6461,                0.64036,                 1.0683,               0.001109,               0.001109,               0.001109
                     48,                0.88165,                 1.4972,                0.62325,                 1.0452,                0.86489,                0.86927,                0.90461,                  0.689,                 0.8573,                0.86386,                 0.8935,                0.60825,                0.90281,                 1.6221,                0.63082,                 1.0644,              0.0010892,              0.0010892,              0.0010892
                     49,                0.91122,                 1.5319,                0.65945,                 1.0691,                0.87111,                0.87354,                0.91977,                0.70462,                0.86737,                0.86424,                0.91045,                0.62538,                0.89669,                 1.6253,                0.62176,                 1.0547,              0.0010694,              0.0010694,              0.0010694
                     50,                0.87429,                 1.4897,                 0.6227,                 1.0432,                0.86854,                0.87693,                0.91305,                0.69723,                0.86838,                0.87193,                0.90336,                0.61094,                0.89878,                 1.6234,                0.62061,                 1.0563,              0.0010496,              0.0010496,              0.0010496
